0;0;0;Summertime;Abbie Mitchell;https://www.youtube.com/watch?v=TMHWEcSKEPI;True
3;0;3;Summertime;Jerry Kruger and Her Orchestra;https://www.youtube.com/watch?v=J9JctRqcDso;True
22;0;22;Summertime;Lana Bittencourt;https://www.youtube.com/watch?v=MD11HICT2sw;True
24;0;24;Summertime;Jimmie Rodgers [1];https://www.youtube.com/watch?v=NytUFajJ66Q;True
26;0;26;Summertime;Sylvie Mora, Arrangement and Orchestra Conducted by Russell Garcia;https://www.youtube.com/watch?v=aS7KkD0Q-m8;True
34;0;34;Summertime;The Platters;https://www.youtube.com/watch?v=p7xIkBGFTec;True
37;0;37;Summertime;Rick Nelson;https://www.youtube.com/watch?v=izsVZup02-4;True
38;0;38;Summertime;The Ventures;https://www.youtube.com/watch?v=LcZCATEmlk8;True
45;0;45;Summertime;Andy Williams;https://www.youtube.com/watch?v=Ino4OYNVEQc;True
46;0;46;Summertime;Gerry and The Pacemakers;https://www.youtube.com/watch?v=o0dI-tWKGrc;True
58;0;58;Summertime;Frank Wilson and the Cavaliers;https://www.youtube.com/watch?v=QTdYfsHGf3M;True
62;0;62;Summertime;Lynne Randell;https://www.youtube.com/watch?v=BfOcyQ_6ZEE;True
73;0;73;Summertime;Dinah Lee;https://www.youtube.com/watch?v=5QQ0VZv06UU;True
84;0;84;Summertime;The Bittersweets [2];https://www.youtube.com/watch?v=A4DoYOOlofU;True
88;0;88;Summertime;Leaves of Grass;https://www.youtube.com/watch?v=bKPwyUs91lg;True
95;0;95;Summertime;The Gents;https://www.youtube.com/watch?v=GyIcI1zB7sk;True
101;0;101;Summertime;Magic Bubble;https://www.youtube.com/watch?v=mKyt0lgCnvA;True
104;0;104;Summertime;Freddy Quinn;https://www.youtube.com/watch?v=OYG6Rgs5tVw;True
111;0;111;Summertime;Mike Brant;https://www.youtube.com/watch?v=4CWKzmnqzPI;True
125;0;125;Summertime;Sissel Kyrkjebø;https://www.youtube.com/watch?v=o6jreproo44;True
131;0;131;Summertime;Maureen McGovern;https://www.youtube.com/watch?v=yTUGh1binp4;True
132;0;132;Summertime;The Harvard Din & Tonics;https://www.youtube.com/watch?v=zHq-x6eANE4;True
137;0;137;Summertime;Helge Schneider & Hardcore;https://www.youtube.com/watch?v=0e_IyMhfTgo;True
139;0;139;Summertime;Peter Gabriel;https://www.youtube.com/watch?v=4fOgwxJaYQg;True
154;0;154;Summertime;Lino Patruno Jazz Show;https://www.youtube.com/watch?v=vTivEe9TdcU;True
161;0;161;Summertime;Morcheeba & Hubert Laws;https://www.youtube.com/watch?v=cgHTjEbDGzI;True
166;0;166;Summertime;Bobby Carcassés;https://www.youtube.com/watch?v=0rO5TIaYoSg;True
186;0;186;Summertime;Aaron Neville;https://www.youtube.com/watch?v=zntjar4H0Co;True
193;0;193;Summertime;Michael Bolton;https://www.youtube.com/watch?v=yu8_uSG8kDE;True
206;0;206;Summertime;Oscar Klein & Gus Backus;https://www.youtube.com/watch?v=jHr4lAeU3JY;False
254;0;254;Summertime;Charlie Spivak and His Orchestra;https://www.youtube.com/watch?v=QM5SoceOGEk;True
261;0;261;Summertime;Dizzy Gillespie;https://www.youtube.com/watch?v=r0LKiFTIEv4;True
272;0;272;Summertime;Mantovani and His Orchestra;https://www.youtube.com/watch?v=np5t4YoRpbQ;True
275;0;275;Summertime;Santo & Johnny;https://www.youtube.com/watch?v=W0Cjhaq3mco;True
285;0;285;Summertime;The Three Sounds;https://www.youtube.com/watch?v=9Tj-RDBj0iA;True
287;0;287;Summertime;Orquesta Maravella;https://www.youtube.com/watch?v=QI1gEeF1fz8;True
288;0;288;Summertime;Toots Thielemans;https://www.youtube.com/watch?v=ROaz7Vg6c7o;True
291;0;291;Summertime;The String-A-Longs;https://www.youtube.com/watch?v=TVqiW-5II8w;True
303;0;303;Summertime;Fausto Papetti;https://www.youtube.com/watch?v=2CwervpqD1E;True
305;0;305;Summertime;Booker T. & The M.G.'s;https://www.youtube.com/watch?v=0Rr_6VNF2To;True
320;0;320;"Summertime; It Ain't Necessarily So; Bess, You Is My Woman; I Got Plenty o' Nuttin";George Feyer;https://www.youtube.com/watch?v=70gpOMRWjg8;True
322;0;322;Summertime;Ekseption;https://www.youtube.com/watch?v=Q5bweWtZXLQ;True
325;0;325;Summertime;Adam Makowicz;https://www.youtube.com/watch?v=BPlHdxjhwhc;True
333;0;333;Summertime;Stefan Nicolaï;https://www.youtube.com/watch?v=ud4XITtp4lg;True
342;0;342;Summertime;The Hi Hats;https://www.youtube.com/watch?v=j2BwDPKoH0Y;True
347;0;347;Summertime;Steven C.;https://www.youtube.com/watch?v=xdQwpZdVkC0;True
350;0;350;Summertime;Steelasophical;https://www.youtube.com/watch?v=v_cdTTsskfk;True
351;0;351;Summertime;Pearl Street jazz Band;https://www.youtube.com/watch?v=YfaJGNx1bbA;False
362;0;362;Summertime;Negroni's Trio;https://www.youtube.com/watch?v=EgeCwI0arvY;True
381;0;381;Doin' Time;Sublime;https://www.youtube.com/watch?v=tF1628qACPM;True
383;0;383;Kesäyö;Tutta Jew;https://www.youtube.com/watch?v=zqncLTFi8HY;True
389;1;2;Stille Nacht;Mireille Mathieu;https://www.youtube.com/watch?v=TUw-_3SYEmc;False
400;1;13;Silent Night;Billy Vaughn;https://www.youtube.com/watch?v=L60PzPlof4M;True
403;1;16;Silent Night - Joy to the World;Arthur Lyman;https://www.youtube.com/watch?v=seR_f_C837s;True
414;1;27;Silent Night;Chris Rice;https://www.youtube.com/watch?v=owv9pd7Ie4Q;True
419;1;32;Silent Night;Sufjan Stevens;https://www.youtube.com/watch?v=WxHFdMc43a4;True
431;1;44;Silent Night;Brad Jacobsen;https://www.youtube.com/watch?v=iblaNdbL-hI;True
440;1;53;Silent Night;Giovanni Allevi;https://www.youtube.com/watch?v=PtjBzU9A270;True
441;1;54;Silent Night;George Winston;https://www.youtube.com/watch?v=2J0tf6IAF48;True
446;1;59;Glade jul;Familien Andersen;https://www.youtube.com/watch?v=qQZChnWJ29c;True
448;1;61;Glade jul;Danmarks Radios Pigekor dirigeret af Tage Mortensen;https://www.youtube.com/watch?v=TIc7tjeopXU;True
453;1;66;Silent Night;Bing Crosby with Victor Young and His Orchestra;https://www.youtube.com/watch?v=fL_Z6YsZ-os;True
455;1;68;Silent Night! Holy Night!;Bing Crosby with John Scott Trotter and His Orchestra;https://www.youtube.com/watch?v=H3b0wzhteuU;True
456;1;69;Silent Night;Perry Como;https://www.youtube.com/watch?v=k46eTyJ2Rnc;True
459;1;72;Silent Night, Holy Night;Mahalia Jackson;https://www.youtube.com/watch?v=7McLNzafru4;False
462;1;75;Silent Night, Holy Night;Jo Stafford;https://www.youtube.com/watch?v=e5QhJHA3ykQ;False
463;1;76;Silent Night;Mario Lanza;https://www.youtube.com/watch?v=gI5pn0a6xTs;False
478;1;91;Silent Night;Eddy Arnold;https://www.youtube.com/watch?v=CcFBUI2m-D4;True
